sp_code,DE,LMA,Nmass,Aarea,Rdmass
ADEFAS,E,281.838,1.172,14.125,NA
ARBMEN,E,154.882,1.242,11.22,NA
ARCTOM,E,141.254,1.033,10.471,NA
ARTCAL,D,95.499,NA,NA,NA
BACPIL,E,107.152,2.443,17.378,NA
CEACUN,E,229.087,1.799,22.909,NA
CEAOLI,E,120.226,2.128,17.783,NA
CERBET,E,138.038,2.41,24.547,NA
CLELAS,D,74.131,NA,NA,NA
DIROCC,D,56.234,2.582,7.762,NA
ERICAL,E,177.828,1.667,18.621,NA
HETARB,E,208.93,1.371,12.303,NA
HOLDIS,D,77.625,1.941,12.589,NA
LEPCAL,D,100,1.816,12.589,NA
LONHIS,D,107.152,NA,NA,NA
LOTSCO,D,95.499,2.296,21.38,NA
MIMAUR,E,112.202,1.156,14.791,NA
PICMON,E,151.356,NA,NA,NA
PRUIIL,E,151.356,2.046,9.55,NA
QUEAGR,E,194.984,NA,NA,NA
QUEDUR,E,208.93,NA,NA,NA
RHACAL,E,74.131,2.08,10.715,NA
RHACRO,E,125.893,2.128,12.589,NA
RIBCAL,D,93.325,2.234,10.965,NA
RIBMAL,D,74.131,NA,NA,NA
SAMMEX,D,100,2.535,19.055,NA
SOLUMB,D,79.433,NA,NA,NA
TOXDIV,D,79.433,1.977,13.183,NA
CHETRY,NA,89.125,1.191,5.37,NA
CHEOAH,E,89.125,3.631,14.791,NA
COMOCH,E,79.433,1.291,10,NA
METPOL,NA,309.03,0.729,4.467,NA
MYOSAN,NA,147.911,1.291,14.791,NA
MYRLES,NA,154.882,0.959,7.244,NA
PELSP,NA,66.069,1.3,NA,NA
RHUSAN,NA,47.863,1.4,16.596,NA
RUBHAW,E,36.308,2.951,NA,NA
SOPCHR,NA,114.815,2.891,7.762,NA
STYTAM,E,204.174,0.82,NA,NA
VACCHA,E,53.703,1.991,5.129,NA
VACRET,E,169.824,0.889,NA,NA
CARKAU,NA,151.356,0.971,NA,NA
DODVIS,E,144.544,1.4,NA,NA
DUBSCA,E,66.069,0.809,NA,NA
METPOL,NA,194.984,0.859,9.55,NA
NEPSP,NA,154.882,1.089,1.445,NA
DICLIN,NA,83.176,1.089,NA,NA
HETCON,NA,45.709,1.18,NA,NA
METPOL,NA,141.254,0.859,NA,NA
METPOL,NA,177.828,0.871,10.965,NA
MYRSAN,E,45.709,1.05,NA,NA
NEPSP,NA,47.863,1.109,NA,NA
PIPALB,NA,61.66,1.6,14.125,NA
PSYSP,E,70.795,1.309,1.95,NA
BRUARG,E,72.444,1.34,3.311,NA
CIBGLA,NA,60.256,1.66,NA,NA
CLEMON,E,32.359,2.851,1.514,NA
FREARB,NA,60.256,1.91,2.344,NA
ILEANO,NA,95.499,1.239,NA,NA
METPOL,NA,109.648,1.109,3.311,NA
METPOL,NA,204.174,0.769,3.802,NA
PEPSP,NA,37.154,2.178,NA,NA
COMERN,E,81.283,0.991,NA,NA
COMOCH,E,39.811,1.75,1.288,NA
DICLIN,NA,109.648,0.959,NA,NA
HEDCEN,E,123.027,1.271,3.715,NA
MACMAR,NA,223.872,0.69,NA,NA
METPOL,NA,158.489,0.78,4.571,NA
METPOL,NA,363.078,0.59,6.166,NA
BETPAP,D,100,2.523,19.498,NA
PRUSER,D,56.234,2.679,18.621,NA
